iteration,AverageCoverage
0,0.35750731926584245
1,0.7715192534014746
2,0.7801779875504047
3,0.7876636028791573
4,0.7957043443702939
5,0.8003409568500437
6,0.805089294931715
7,0.8082734745864827
8,0.8114541523940263
9,0.8138003900343819
10,0.8170962952910712
11,0.8184370025141317
12,0.8192749445285442
13,0.8194983957323876
14,0.8197218469362311
15,0.8197777097371918
16,0.8205039261496827
17,0.8212301425621735
18,0.8219563589746642
19,0.822961889391959
20,0.8241908710130977
21,0.8418468512093181
24,0.8421261652141223
25,0.8429082444275738
26,0.8977843629415934
27,0.8985105793540842
28,0.8998512865771443
29,0.9000188749800266
30,0.9008568169944393
31,0.9018623474117342
32,0.9038175454453632
33,0.9049906642655405
34,0.9067224110953267
35,0.9085100207260737
36,0.9090686487356822
37,0.9114113845288128
38,0.9273984843906561
39,0.9444353304818994
40,0.9444353304818995
41,0.9447705072876643
42,0.9464463913164897
43,0.9478429613405104
44,0.9490684411144243
45,0.9501298343326804
46,0.9520291695653498
47,0.9526436603759191
48,0.9597347342507218
50,0.9602933622603304
58,0.9603492250612913
63,0.9604050878622521
73,0.9703144347610497
74,0.9708171999696972
75,0.9710965139745015
77,0.9719344559889141
78,0.9725489467994838
79,0.9730517120081316
80,0.9731634376100532
81,0.9734427516148575
82,0.9736662028187011
85,0.9738337912215835
87,0.9738896540225443
104,0.9742736899348213
105,0.9743295527357821
121,0.974385415536743
