Iteration,Individual,X,Y,Fitness
1,0,0.055077802,-0.295538155,2.160850157
1,1,0.072541843,-0.426548289,2.904109975
1,2,0.229338229,-0.319493522,2.936751957
1,3,0.059642313,-0.7473284,3.151041182
1,4,-0.583190451,0.030338603,3.244253512
1,5,0.944982963,0.214757871,3.493261887
1,6,-0.187431198,0.703784692,3.626157573
1,7,0.501462597,0.340875769,3.898910295
1,8,0.834777754,1.013362927,3.985836818
1,9,0.739664447,-0.414244015,4.347681244
2,0,-0.027996095,-0.08711943,0.468082245
2,1,0.076713959,0.085162059,0.645432626
2,2,-0.021913198,0.16108832,1.033965717
2,3,-0.010067041,-0.167659894,1.078585111
2,4,-0.036241173,-0.175343718,1.177994698
2,5,-0.080636559,-0.166955851,1.249332648
2,6,0.111357209,-0.162367105,1.363144555
2,7,-0.145448176,0.249287208,2.158047736
2,8,0.305055771,0.00931417,2.172721871
2,9,-0.246680279,-0.210333828,2.47138001
3,0,-0.049377592,-0.056126145,0.354869471
3,1,-0.06385758,-0.088321035,0.600574547
3,2,-0.068632929,0.135175597,0.95127132
3,3,0.045352796,-0.18303075,1.262644995
3,4,0.123317089,-0.139675908,1.270893457
3,5,-0.107679474,0.156953001,1.303398625
3,6,-0.086383715,0.186723319,1.429652826
3,7,0.209597241,-0.137266374,1.844875191
3,8,0.244137989,-0.130314064,2.052622039
3,9,0.057655543,0.293905682,2.154867931
4,0,-0.008983338,-0.048552481,0.203321618
4,1,-0.019495259,0.089682086,0.469526169
4,2,0.079559829,-0.055316141,0.508844412
4,3,-0.141969137,0.023990961,0.877425634
4,4,0.081288667,0.185116631,1.396090441
4,5,0.148207563,-0.145287584,1.467039533
4,6,-0.104001856,0.183892616,1.487141913
4,7,-0.090441055,0.219800923,1.70451897
4,8,-0.285536093,0.001518107,2.033929825
4,9,-0.285726201,0.02471605,2.047008092
5,0,0.092157646,0.033418483,0.515491108
5,1,0.075314067,0.106649715,0.774901361
5,2,0.030432619,-0.131818059,0.806320584
5,3,-0.14643689,0.043777017,0.955552999
5,4,-0.002928862,0.167836672,1.077397699
5,5,-0.071617367,0.154578218,1.114391474
5,6,0.142617905,-0.108275195,1.20258031
5,7,0.179156516,0.10949354,1.47847485
5,8,0.179054638,0.110076676,1.480672885
5,9,-0.235500961,-0.033266334,1.673030922
6,0,0.114040547,-0.024928671,0.656632593
6,1,-0.077550467,0.089956503,0.678666948
6,2,-0.044947033,-0.112695876,0.695371272
6,3,0.122386184,0.07917793,0.903690384
6,4,-0.009534632,0.168327858,1.083972319
6,5,-0.034445646,-0.169409144,1.124500543
6,6,0.14422544,0.113281402,1.242634621
6,7,-0.18742755,-0.06179677,1.344902526
6,8,0.083503598,0.177869437,1.347657538
6,9,0.170121587,0.11983544,1.466327852
7,0,0.017214529,-0.13973094,0.850117203
7,1,0.126969924,0.076245669,0.923111864
7,2,-0.082521595,-0.19191848,1.45506173
7,3,-0.185459661,-0.151602896,1.756941223
7,4,-0.210140709,-0.19325957,2.161976397
7,5,-0.260698094,0.148538689,2.247043033
7,6,-0.318386921,-0.049267441,2.301816068
7,7,-0.260223676,-0.1822452,2.406450343
7,8,-0.221030196,-0.226416761,2.4149117
7,9,-0.325292086,-0.088408635,2.431597493
8,0,-0.023733246,0.056466005,0.270418186
8,1,-0.069327768,-0.06604126,0.500772043
8,2,-0.11294062,-0.062632832,0.761368175
8,3,0.099535895,0.12164983,1.006205968
8,4,0.156164245,0.133794287,1.44835767
8,5,0.109198675,-0.217471771,1.76526161
8,6,-0.255483738,-0.061519989,1.886040215
8,7,-0.130090528,0.224985926,1.917554591
8,8,-0.24503597,-0.124069355,2.030748861
8,9,-0.281774379,-0.044800689,2.045223819
9,0,0.141913564,-0.096067012,1.130983378
9,1,-0.085575406,-0.177056573,1.350015313
9,2,0.175009771,0.120152928,1.503776741
9,3,-0.207157357,0.106666402,1.676425254
9,4,-0.22195936,-0.081162066,1.686881708
9,5,0.093824027,-0.222819736,1.740867234
9,6,-0.147788826,-0.204449381,1.865535135
9,7,0.159719147,0.231523583,2.112011917
9,8,0.256374329,0.17934101,2.368938291
9,9,-0.248990438,-0.192950278,2.39416274
10,0,-0.037563777,-0.017822428,0.16305643
10,1,0.021564026,-0.059404914,0.281950151
10,2,-0.029436566,-0.069301333,0.357775709
10,3,-0.17134324,0.0122287,1.111360005
10,4,-0.16483326,0.084518639,1.249437447
10,5,0.059930687,-0.183059698,1.30321875
10,6,-0.043377314,0.210519014,1.487093716
10,7,-0.22106289,-0.012193628,1.532710087
10,8,0.130783195,-0.19161254,1.682080572
10,9,-0.250302531,0.034100712,1.791741892
