iteration,AverageCoverage
0,0.46002763923667866
1,0.9150634516204473
2,0.9230518321578473
3,0.9327347176577262
4,0.9406020621263783
5,0.9490745869387723
6,0.9514953083137424
8,0.9661406726323086
9,0.9686824300760276
10,0.9701348629010101
12,0.9717083317947403
13,0.9730397285509735
14,0.9747342335134519
16,0.9753394138571936
17,0.977760135232163
18,0.9781232434384085
19,0.9783653155759052
20,0.9784863516446538
23,0.9801808566071324
24,0.9806650008821264
25,0.981270181225869
26,0.9829646861883479
27,0.9836909026008385
28,0.9840540108070839
29,0.9841750468758322
30,0.9846591911508261
60,0.9849012632883231
2800,0.9850222993570714
