iteration,AverageCoverage
0,0.47367471425984514
1,0.7848938213958769
2,0.8891971705756399
3,0.8945864607946517
4,0.9085298159144776
5,0.9146071006295333
6,0.9167857498670062
7,0.9214870455899737
8,0.9261075113584876
9,0.932987456318928
10,0.9581077770321378
11,0.9599424290215886
12,0.961547749512358
13,0.9617770810110394
14,0.9625797412564241
15,0.9626944070057648
16,0.9634970672511495
17,0.9639557302485122
18,0.9645290589952156
19,0.9652170534912596
20,0.965790382237963
21,0.9671663712300511
22,0.9676250342274139
23,0.9688863574701613
25,0.9693450204675239
26,0.9694596862168646
27,0.9695743519662053
34,0.969952185009113
41,0.9701815165077942
57,0.9702961822571348
