iteration,AverageCoverage
0,0.6267668751002085
1,0.8997573776985544
2,0.9059665280253517
3,0.9178401663695782
4,0.9229599920776392
5,0.9298227371756789
6,0.9326549811843933
7,0.9331996434937607
10,0.933744305803129
11,0.9359559648775342
12,0.9368818908034603
13,0.9374810193437652
14,0.9381890803459433
15,0.9393328711956156
16,0.9396596685812366
17,0.9403677295834154
18,0.9406945269690363
19,0.9415115204330892
20,0.9420017165115209
21,0.9425463788208895
22,0.9427097775137001
23,0.9428187099755738
28,0.9428731762065107
34,0.9439955106621768
48,0.9441589093549873
50,0.9442133755859241
51,0.9444312405096714
52,0.9448669703571659
53,0.9455750313593447
54,0.9463375585924603
55,0.9476992143658808
56,0.9482438766752488
57,0.9487340727536799
58,0.9491153363702375
59,0.9495510662177318
