iteration,AverageCoverage
0,0.7339894179894176
1,0.9146047307812017
2,0.9195845004668538
3,0.9258092125739186
4,0.9270541549953313
5,0.9282990974167443
7,0.9289215686274507
15,0.9292328042328039
31,0.9757936507936499
41,0.9761048863990033
42,0.9779723000311228
43,0.9785947712418294
44,0.9823295985060682
45,0.9835745409274812
46,0.9857531901649543
47,0.988554310613134
48,0.989488017429194
49,0.9897992530345471
50,0.9897992530345472
53,0.9897992530345473
56,0.9904217242452539
67,0.990421724245254
82,0.990732959850607
544,0.9907329598506072
567,0.991666666666667
